German,English
Zeit,time
Mensch,person
Jahr,year
Weg,way
Tag,day
Hand,hand
Arbeit,work
Stadt,city
Welt,world
Frage,question
Haus,house
Kind,child
Frau,woman
Mann,man
Leben,life
Freund,friend
Auto,car
Buch,book
Wasser,water
Feuer,fire
Baum,tree
Hund,dog
Katze,cat
Schule,school
Straße,street
Geld,money
Arzt,doctor
Universität,university
Musik,music
Film,movie
Liebe,love
Essen,food
Trinken,drink
Armee,army
Himmel,sky
Sonne,sun
Mond,moon
Stern,star
Meer,sea
Fluss,river
Berg,mountain
Wald,forest
Blume,flower
Pferd,horse
Fisch,fish
Vogel,bird
Flugzeug,airplane
Zug,train
Schiff,ship
Fahrrad,bicycle
Mutter,mother
Vater,father
Bruder,brother
Schwester,sister
Familie,family
Freizeit,free time
Freundschaft,friendship
Sprache,language
Gedanke,thought
Gefühl,feeling
Körper,body
Gesicht,face
Auge,eye
Ohr,ear
Mund,mouth
Nase,nose
Herz,heart
Kopf,head
Fuß,foot
Bein,leg
Arm,arm
Finger,finger
Zahn,tooth
Blut,blood
Kleidung,clothing
Hemd,shirt
Hose,pants
Schuh,shoe
Mantel,coat
Hut,hat
Tasche,bag
Uhr,clock
Bett,bed
Stuhl,chair
Tisch,table
Fenster,window
Tür,door
Wand,wall
Boden,floor
Decke,ceiling
Computer,computer
Telefon,telephone
Kamera,camera
Zeitung,newspaper
Brief,letter
Bild,picture
Schmerz,Pain
Licht,Light
Glück,Luck
Traum,Dream
